source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,solver_success,solver_max_abs_residual
Jakobsen,20.0,0.3,0.21,MEACOO-,0.0206,0.0226087550036453,0.0404094273395963,True,3.552713678800501e-15
Matin,20.0,0.3,0.218,MEACOO-,0.0228,0.0234887556621449,0.0129251632476432,True,2.131628207280301e-14
Bottinger,20.0,0.3,0.235,MEACOO-,0.0267,0.0253558999165013,-0.0224322324860033,True,3.552713678800501e-15
Matin,20.0,0.3,0.241,MEACOO-,0.0252,0.0260138332166217,0.0138038107287528,True,3.626707139797997e-15
Jakobsen,20.0,0.3,0.25,MEACOO-,0.0274,0.0269995489008381,-0.0063940546433774,True,3.5527136788005016e-14
Matin,20.0,0.3,0.264,MEACOO-,0.0276,0.0285296881428257,0.0143879423577137,True,3.552713678800501e-15
Matin,20.0,0.3,0.287,MEACOO-,0.0299,0.0310331628787072,0.0161548525116807,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.29,MEACOO-,0.0307,0.0313585767133216,0.0092179674517343,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.309,MEACOO-,0.0349,0.0334121168485396,-0.0189214354121416,True,3.552713678800501e-15
Matin,20.0,0.3,0.31,MEACOO-,0.0321,0.0335198022536848,0.0187964154893213,True,7.105427357601002e-15
Matin,20.0,0.3,0.334,MEACOO-,0.0342,0.0360894539246514,0.0233542046732302,True,3.552713678800501e-15
Matin,20.0,0.3,0.358,MEACOO-,0.0362,0.0386218757295224,0.0281247915875588,True,7.105427357601002e-15
Matin,20.0,0.3,0.382,MEACOO-,0.0381,0.041097571499535,0.0328911840225463,True,5.841747097464352e-16
Bottinger,20.0,0.3,0.388,MEACOO-,0.043,0.0417040863823377,-0.013289844098621,True,4.618527782440651e-14
Jakobsen,20.0,0.3,0.4,MEACOO-,0.0427,0.0428972772327081,0.0020018525830864,True,2.664535259100376e-15
Matin,20.0,0.3,0.406,MEACOO-,0.04,0.0434820232597998,0.0362497526907811,True,4.263256414560601e-14
