temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,curve_role,solver_success,solver_max_abs_residual
20.0,0.3,0.095,HCO3-,7.688797408090323e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,CO3^2-,0.0006729953542321239,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,H3O+,7.59204818488246e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,OH-,2.288179417544387e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,MEA + MEAH+,0.10232676195502641,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.1,CO2,1.1464694441162834e-09,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,MEA,0.08985236194629971,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,MEAH+,0.011922369408459024,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,MEACOO-,0.010464912405884362,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,HCO3-,8.217694247984045e-05,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,CO3^2-,0.0006768738812322218,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,H3O+,8.067723373470538e-14,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,OH-,2.1532297712095485e-05,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.1,MEA + MEAH+,0.10177473135475873,explicit_ideal_equilibrium_curve,true,5.506706202140776e-13
20.0,0.3,0.105,CO2,1.2960024911127424e-09,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,MEA,0.08873661651960753,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,MEAH+,0.012485891065734073,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,MEACOO-,0.011017136158516343,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,HCO3-,8.760036934178384e-05,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,CO3^2-,0.0006804247692455414,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,H3O+,8.55521258249288e-14,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,OH-,2.0304999471104787e-05,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.105,MEA + MEAH+,0.1012225075853416,explicit_ideal_equilibrium_curve,true,7.453508359317342e-14
20.0,0.3,0.11,CO2,1.4588400824130792e-09,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,MEA,0.08762090405724392,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,MEAH+,0.013049230174565983,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,MEACOO-,0.011569509493770228,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,HCO3-,9.316301404609414e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,CO3^2-,0.0006836868431582548,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,H3O+,9.054980490575568e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,OH-,1.9183980524177686e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.11,MEA + MEAH+,0.1006701342318099,explicit_ideal_equilibrium_curve,true,7.105427357601002e-14
20.0,0.3,0.115,CO2,1.635864907417253e-09,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,MEA,0.08650524287203254,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,MEAH+,0.013612406310999307,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,MEACOO-,0.01212199452267639,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,HCO3-,9.886992489555422e-05,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,CO3^2-,0.00068669294272016,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,H3O+,9.567513154141699e-14,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,OH-,1.815597808305909e-05,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.115,MEA + MEAH+,0.10011764918303184,explicit_ideal_equilibrium_curve,true,1.9184653865522705e-13
20.0,0.3,0.12,CO2,1.8280248815289334e-09,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,MEA,0.08538964945184196,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,MEAH+,0.014175436301101917,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,MEACOO-,0.012674557931196052,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,HCO3-,0.0001047264485114462,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,CO3^2-,0.0006894710343648187,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
20.0,0.3,0.12,H3O+,1.0093319792645961e-13,explicit_ideal_equilibrium_curve,true,8.881784197001252e-14
