role,temperature_C,species,CO2_loading,mole_fraction
curve,60.0,MEA,0.28564375,0.0483638160984224
curve,60.0,MEA,0.2906375,0.0472549487836836
curve,60.0,MEA,0.29563125,0.0461467410966674
curve,60.0,MEA,0.300625,0.0450392479878569
curve,60.0,MEA,0.30561875,0.0439325245472747
curve,60.0,MEA,0.3106125,0.0428266320448748
curve,60.0,MEA,0.31560625,0.041721643162316
curve,60.0,MEA,0.3206,0.0406176282043608
curve,60.0,MEA,0.32559375,0.0395146723927899
curve,60.0,MEA,0.3305875,0.0384128709947821
curve,60.0,MEA,0.33558125,0.0373123248423115
curve,60.0,MEA,0.340575,0.0362131480321753
curve,60.0,MEA,0.34556875,0.0351154709776739
curve,60.0,MEA,0.3505625,0.0340194359167094
curve,60.0,MEA,0.35555625,0.0329252084264676
curve,60.0,MEA,0.36055,0.031832966426591
curve,60.0,MEA,0.36554375,0.030742917949771
curve,60.0,MEA,0.3705375,0.0296552997631455
curve,60.0,MEA,0.37553125,0.0285703722717487
curve,60.0,MEA,0.380525,0.0274884409105746
curve,60.0,MEA,0.38551875,0.0264098568347362
curve,60.0,MEA,0.3905125,0.025335018495302
curve,60.0,MEA,0.39550625,0.0242643835200443
curve,60.0,MEA,0.4004999999999999,0.0231984898295592
curve,60.0,MEA,0.40549375,0.022137957866894
curve,60.0,MEA,0.4104875,0.0210835073576121
curve,60.0,MEA,0.4154812499999999,0.0200359836599161
curve,60.0,MEA,0.420475,0.0189963833904678
curve,60.0,MEA,0.42546875,0.0179658686061368
curve,60.0,MEA,0.4304624999999999,0.0169458217964355
curve,60.0,MEA,0.43545625,0.0159378532055327
curve,60.0,MEA,0.44045,0.0149438943537042
curve,60.0,MEA,0.4454437499999999,0.0139662055150006
curve,60.0,MEA,0.4504375,0.0130074238949054
curve,60.0,MEA,0.45543125,0.0120706491856477
curve,60.0,MEA,0.460425,0.0111594478778418
curve,60.0,MEA,0.46541875,0.0102778491615731
curve,60.0,MEA,0.4704125,0.0094303386852198
curve,60.0,MEA,0.47540625,0.0086216864969331
curve,60.0,MEA,0.4804,0.0078567380425554
curve,60.0,MEA,0.48539375,0.0071401191417414
curve,60.0,MEA,0.4903875,0.006475769579157
curve,60.0,MEA,0.49538125,0.0058665146411223
curve,60.0,MEA,0.500375,0.0053137261155661
curve,60.0,MEA,0.50536875,0.0048170902483327
curve,60.0,MEA,0.5103624999999999,0.0043746847246475
curve,60.0,MEA,0.51535625,0.0039832162898928
curve,60.0,MEA,0.52035,0.0036384576640176
curve,60.0,MEA,0.52534375,0.0033356567491563
curve,60.0,MEA,0.5303375,0.0030699701919378
curve,60.0,MEA,0.53533125,0.0028367206631958
curve,60.0,MEA,0.5403249999999999,0.0026315920106455
curve,60.0,MEA,0.54531875,0.0024507172401777
curve,60.0,MEA,0.5503125,0.0022907134012807
curve,60.0,MEA,0.55530625,0.002148657331217
curve,60.0,MEA,0.5603,0.0020220437964378
curve,60.0,MEA,0.56529375,0.0019087629462119
curve,60.0,MEA,0.5702875,0.0018069894318558
curve,60.0,MEA,0.57528125,0.0017152100176412
curve,60.0,MEA,0.580275,0.0016321200020667
curve,60.0,MEA,0.58526875,0.0015566278869765
curve,60.0,MEA,0.5902625,0.0014877939363866
curve,60.0,MEA,0.59525625,0.0014248191630217
curve,60.0,MEA,0.60025,0.0013670175543208
curve,60.0,MEA,0.60524375,0.0013138113919052
curve,60.0,MEA,0.6102375,0.0012646797580293
curve,60.0,MEA,0.61523125,0.0012191934392782
curve,60.0,MEA,0.620225,0.001176968570337
curve,60.0,MEA,0.62521875,0.0011376749264494
curve,60.0,MEA,0.6302125,0.0011010235841985
curve,60.0,MEA,0.63520625,0.0010667570513366
curve,60.0,MEA,0.6402,0.0010346560211688
curve,60.0,MEA,0.64519375,0.0010045137893935
curve,60.0,MEA,0.6501875,0.0009761636997613
curve,60.0,MEA,0.6551812499999999,0.0009494502050971
curve,60.0,MEA,0.660175,0.0009242294593941
curve,60.0,MEA,0.66516875,0.0009003821900709
curve,60.0,MEA,0.6701625,0.0008777955268803
curve,60.0,MEA,0.67515625,0.0008563693732748
curve,60.0,MEA,0.68015,0.000836015154706
curve,60.0,MEA,0.6851437499999999,0.0008166515922689
curve,60.0,MEA,0.6901375,0.0007982099164365
curve,60.0,MEA,0.69513125,0.0007806159278277
curve,60.0,MEA,0.700125,0.0007638151306654
curve,60.0,MEA,0.70511875,0.0007477521924103
curve,60.0,MEA,0.7101125,0.0007323768978021
curve,60.0,MEA,0.7151062499999999,0.0007176436100242
curve,60.0,MEA,0.7201,0.0007035089084068
curve,60.0,MEA,0.72509375,0.0006899375218958
curve,60.0,MEA,0.7300875,0.0006768944666843
curve,60.0,MEA,0.73508125,0.0006643447107779
curve,60.0,MEA,0.740075,0.0006522612189517
curve,60.0,MEA,0.74506875,0.0006406162423935
curve,60.0,MEA,0.7500625,0.0006293838047604
curve,60.0,MEA,0.75505625,0.0006185410555223
curve,60.0,MEA,0.76005,0.0006080660740463
curve,60.0,MEA,0.76504375,0.0005979402200072
curve,60.0,MEA,0.7700375,0.0005881426966474
curve,60.0,MEA,0.77503125,0.0005786568577217
curve,60.0,MEA,0.780025,0.0005694679591591
curve,60.0,MEA,0.78501875,0.0005605582488283
curve,60.0,MEA,0.7900125,0.0005519187446469
curve,60.0,MEA,0.79500625,0.000543531280846
curve,60.0,MEA,0.8,0.0005353850329207
curve,60.0,MEAH+,0.001,0.0006081416164325
curve,60.0,MEAH+,0.00599375,0.0010208376270187
curve,60.0,MEAH+,0.0109875,0.0015079884029847
curve,60.0,MEAH+,0.01598125,0.0020289579779932
curve,60.0,MEAH+,0.020975,0.0025660498406732
curve,60.0,MEAH+,0.02596875,0.0031116380847135
curve,60.0,MEAH+,0.0309625,0.0036621138764787
curve,60.0,MEAH+,0.03595625,0.0042155989907729
curve,60.0,MEAH+,0.04095,0.0047710299292364
curve,60.0,MEAH+,0.04594375,0.0053277725578865
curve,60.0,MEAH+,0.0509375,0.0058854256177028
curve,60.0,MEAH+,0.05593125,0.0064437265801873
curve,60.0,MEAH+,0.060925,0.007002492899633
curve,60.0,MEAH+,0.06591875,0.0075616052166027
curve,60.0,MEAH+,0.0709125,0.0081209722689975
curve,60.0,MEAH+,0.07590625,0.0086805315618427
curve,60.0,MEAH+,0.0809,0.009240232787406
curve,60.0,MEAH+,0.08589375,0.0098000436236877
curve,60.0,MEAH+,0.0908875,0.0103599359415061
curve,60.0,MEAH+,0.09588125,0.0109198893353892
curve,60.0,MEAH+,0.1008749999999999,0.0114798917542448
curve,60.0,MEAH+,0.10586875,0.0120399273389021
curve,60.0,MEAH+,0.1108625,0.0125999898004225
curve,60.0,MEAH+,0.11585625,0.0131600702791002
curve,60.0,MEAH+,0.12085,0.0137201658544381
curve,60.0,MEAH+,0.12584375,0.0142802713697073
curve,60.0,MEAH+,0.1308375,0.0148403826721752
curve,60.0,MEAH+,0.13583125,0.0154004970375213
curve,60.0,MEAH+,0.140825,0.0159606166307622
curve,60.0,MEAH+,0.14581875,0.0165207344467398
curve,60.0,MEAH+,0.1508125,0.0170808544153241
curve,60.0,MEAH+,0.15580625,0.0176409770477909
curve,60.0,MEAH+,0.1608,0.0182010943436815
