source,species,CO2_loading,mole_fraction,accepted,message
model,HCO3-,0.466,0.0016835579968227,True,converged
model,HCO3-,0.487,0.002903559254145,True,converged
model,HCO3-,0.508,0.0051883959048581,True,converged
model,HCO3-,0.6,0.0220610061486393,True,converged
model,HCO3-,0.663,0.0335810364306426,True,converged
model,HCO3-,0.683,0.0369647965476067,True,converged
model,HCO3-,0.762,0.0488448133390294,True,converged
model,HCO3-,0.78,0.0512174276669077,True,converged
reference,CO3^2-,0.11,9.91675227045985e-05,,
reference,CO3^2-,0.125,8.154389255245427e-05,,
reference,CO3^2-,0.205,0.0001929518223818,,
reference,CO3^2-,0.21,0.0026851840800056,,
reference,CO3^2-,0.236,0.0002389934836446,,
reference,CO3^2-,0.25,0.0003927694764735,,
reference,CO3^2-,0.28,0.0002922313784757,,
reference,CO3^2-,0.29,0.000396336153636,,
reference,CO3^2-,0.343,0.0003735957682606,,
reference,CO3^2-,0.354,0.0003868016477155,,
reference,CO3^2-,0.4,0.0009970601381702,,
reference,CO3^2-,0.46,0.0005271893772479,,
reference,CO3^2-,0.466,0.0005166886792767,,
reference,CO3^2-,0.487,0.0005408386934107,,
reference,CO3^2-,0.508,0.0005615160010819,,
reference,CO3^2-,0.6,0.000897761299295,,
reference,CO3^2-,0.663,0.0006971862962304,,
reference,CO3^2-,0.683,0.0007341613600489,,
reference,CO3^2-,0.762,0.0007899184143148,,
reference,CO3^2-,0.78,0.0008986307204138,,
model,CO3^2-,0.11,0.0002714131463145,True,converged
model,CO3^2-,0.125,0.0002793969426838,True,converged
model,CO3^2-,0.205,0.0003011403823891,True,converged
model,CO3^2-,0.21,0.000301815939353,True,converged
model,CO3^2-,0.236,0.0003046690513135,True,converged
model,CO3^2-,0.25,0.0003058464277856,True,converged
model,CO3^2-,0.28,0.0003078257068086,True,converged
model,CO3^2-,0.29,0.000308373328514,True,converged
model,CO3^2-,0.343,0.0003108331228906,True,converged
model,CO3^2-,0.354,0.000311293003375,True,converged
model,CO3^2-,0.4,0.0003129181329536,True,converged
model,CO3^2-,0.46,0.0003109521186979,True,converged
model,CO3^2-,0.466,0.0003098405213458,True,converged
model,CO3^2-,0.487,0.0003024072180677,True,converged
model,CO3^2-,0.508,0.0002869869503501,True,converged
model,CO3^2-,0.6,0.0001889127953955,True,converged
model,CO3^2-,0.663,0.0001402410632421,True,converged
model,CO3^2-,0.683,0.0001281593780758,True,converged
model,CO3^2-,0.762,9.21133107062074e-05,True,converged
model,CO3^2-,0.78,8.594173832789352e-05,True,converged
reference,H3O+,0.11,0.004077163891737,,
reference,H3O+,0.125,0.0028297522977913,,
reference,H3O+,0.205,0.0050151578345077,,
reference,H3O+,0.21,0.0087332644677183,,
reference,H3O+,0.236,0.0052689607524306,,
reference,H3O+,0.25,0.0043415267072319,,
reference,H3O+,0.28,0.0067217597522708,,
reference,H3O+,0.29,0.0063315579584661,,
reference,H3O+,0.343,0.0082898377112026,,
reference,H3O+,0.354,0.008747209878739,,
reference,H3O+,0.4,0.0036579296575901,,
reference,H3O+,0.46,0.0116489668999231,,
reference,H3O+,0.466,0.0125585359409819,,
reference,H3O+,0.487,0.01303269736222,,
reference,H3O+,0.508,0.0116297421763492,,
reference,H3O+,0.6,0.0033789027219204,,
reference,H3O+,0.663,1e-12,,
reference,H3O+,0.683,1.0000000000000002e-12,,
reference,H3O+,0.762,1e-12,,
reference,H3O+,0.78,0.0088355265578175,,
model,H3O+,0.11,2.89542912059961e-13,True,converged
model,H3O+,0.125,3.234824504941319e-13,True,converged
model,H3O+,0.205,5.148677028271564e-13,True,converged
model,H3O+,0.21,5.283614765567562e-13,True,converged
model,H3O+,0.236,6.040137216866103e-13,True,converged
model,H3O+,0.25,6.495627481028249e-13,True,converged
model,H3O+,0.28,7.632507380996869e-13,True,converged
model,H3O+,0.29,8.075030612542877e-13,True,converged
model,H3O+,0.343,1.1296538524326777e-12,True,converged
model,H3O+,0.354,1.2245967021488696e-12,True,converged
model,H3O+,0.4,1.836447902738424e-12,True,converged
model,H3O+,0.46,4.268966794965338e-12,True,converged
model,H3O+,0.466,4.811859007957223e-12,True,converged
model,H3O+,0.487,7.819187667266445e-12,True,converged
model,H3O+,0.508,1.3406480179854778e-11,True,converged
model,H3O+,0.6,5.404767653312223e-11,True,converged
model,H3O+,0.663,8.150089203002769e-11,True,converged
model,H3O+,0.683,8.959163241346687e-11,True,converged
model,H3O+,0.762,1.1845680278385168e-10,True,converged
model,H3O+,0.78,1.2436400365949051e-10,True,converged
reference,OH-,0.11,1.0000000000000002e-12,,
reference,OH-,0.125,1e-12,,
reference,OH-,0.205,1e-12,,
reference,OH-,0.21,1e-12,,
reference,OH-,0.236,1e-12,,
reference,OH-,0.25,1e-12,,
reference,OH-,0.28,9.999999999999998e-13,,
reference,OH-,0.29,1e-12,,
reference,OH-,0.343,1.0000000000000002e-12,,
reference,OH-,0.354,1e-12,,
reference,OH-,0.4,9.999999999999998e-13,,
reference,OH-,0.46,1e-12,,
reference,OH-,0.466,1.0000000000000002e-12,,
reference,OH-,0.487,1e-12,,
reference,OH-,0.508,9.999999999999998e-13,,
reference,OH-,0.6,9.999999999999998e-13,,
reference,OH-,0.663,0.0033001934008622,,
reference,OH-,0.683,0.0039643387095369,,
