source,species,CO2_loading,mole_fraction
model,MEACOO-,0.7441400000000001,0.0286964521473646
model,MEACOO-,0.7521200000000001,0.0278342884597718
model,MEACOO-,0.7601000000000001,0.0269733465439827
model,MEACOO-,0.7680800000000001,0.0261138574230778
model,MEACOO-,0.7760600000000001,0.0252567848601624
model,MEACOO-,0.7840400000000001,0.024401893212423
model,MEACOO-,0.7920200000000001,0.0235494615007691
model,MEACOO-,0.8,0.022699784324918
reference,MEACOO-,0.11,0.0103
reference,MEACOO-,0.125,0.0144
reference,MEACOO-,0.205,0.0241
reference,MEACOO-,0.21,0.018
reference,MEACOO-,0.236,0.0271
reference,MEACOO-,0.25,0.0261
reference,MEACOO-,0.28,0.0327
reference,MEACOO-,0.29,0.0284
reference,MEACOO-,0.343,0.0396
reference,MEACOO-,0.354,0.041
reference,MEACOO-,0.4,0.0495
reference,MEACOO-,0.46,0.0492
reference,MEACOO-,0.466,0.0502
reference,MEACOO-,0.487,0.0511
reference,MEACOO-,0.508,0.0483
reference,MEACOO-,0.6,0.0494
reference,MEACOO-,0.663,0.0347
reference,MEACOO-,0.683,0.0323
reference,MEACOO-,0.762,0.0188
reference,MEACOO-,0.78,0.0388
model,HCO3-,0.11372,6.023456385230809e-05
model,HCO3-,0.1217,6.58143381198276e-05
model,HCO3-,0.12968,7.164929175262704e-05
model,HCO3-,0.13766,7.77224664507757e-05
model,HCO3-,0.14564,8.404677857434786e-05
model,HCO3-,0.15362,9.0635774736299e-05
model,HCO3-,0.1616,9.759355040552176e-05
model,HCO3-,0.16958,0.000104885402386
model,HCO3-,0.17756,0.0001125105362659
model,HCO3-,0.18554,0.0001204891340001
model,HCO3-,0.19352,0.0001288435283132
model,HCO3-,0.2015,0.0001377564868912
model,HCO3-,0.20948,0.0001471242555392
model,HCO3-,0.21746,0.0001569781004637
model,HCO3-,0.22544,0.0001673513314774
model,HCO3-,0.23342,0.0001783257404303
model,HCO3-,0.2414,0.0001901002847395
model,HCO3-,0.24938,0.000202567567476
model,HCO3-,0.25736,0.0002157824475391
model,HCO3-,0.26534,0.0002298038318849
model,HCO3-,0.27332,0.0002448419348853
model,HCO3-,0.2813,0.0002610987071415
model,HCO3-,0.28928,0.0002784833601574
model,HCO3-,0.29726,0.0002971010387516
