source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data
Matin,20.0,0.3,0.173,MEA + MEAH+,0.0954,0.1120155384076462,0.0697298959717125
Matin,20.0,0.3,0.195,MEA + MEAH+,0.0928,0.1120155384076462,0.0817302944569456
Jakobsen,20.0,0.3,0.21,MEA + MEAH+,0.091,0.1120155384076462,0.090236878354714
Matin,20.0,0.3,0.218,MEA + MEAH+,0.0902,0.1120155384076462,0.0940717331338659
Bottinger,20.0,0.3,0.235,MEA + MEAH+,0.0871,0.1120155384076462,0.1092601156681444
Matin,20.0,0.3,0.241,MEA + MEAH+,0.0875,0.1120155384076462,0.1072702176534944
Jakobsen,20.0,0.3,0.25,MEA + MEAH+,0.0836,0.1120155384076462,0.1270719932367912
Matin,20.0,0.3,0.264,MEA + MEAH+,0.0849,0.1120155384076462,0.1203705804318549
Matin,20.0,0.3,0.287,MEA + MEAH+,0.0822,0.1120155384076462,0.1344064531357572
Jakobsen,20.0,0.3,0.29,MEA + MEAH+,0.0792,0.1120155384076462,0.1505530890863141
Bottinger,20.0,0.3,0.309,MEA + MEAH+,0.078,0.1120155384076462,0.1571836679853272
Matin,20.0,0.3,0.31,MEA + MEAH+,0.0796,0.1120155384076462,0.1483652029381385
Matin,20.0,0.3,0.334,MEA + MEAH+,0.0768,0.1120155384076462,0.1639170506442956
Matin,20.0,0.3,0.358,MEA + MEAH+,0.0743,0.1120155384076462,0.1782894569152323
Matin,20.0,0.3,0.382,MEA + MEAH+,0.0716,0.1120155384076462,0.1943652483679521
Bottinger,20.0,0.3,0.388,MEA + MEAH+,0.0678,0.1120155384076462,0.2180485768087443
Jakobsen,20.0,0.3,0.4,MEA + MEAH+,0.0778,0.1120155384076462,0.1582986736861187
Matin,20.0,0.3,0.406,MEA + MEAH+,0.0689,0.1120155384076462,0.2110590487681818
Matin,20.0,0.3,0.431,MEA + MEAH+,0.0663,0.1120155384076462,0.2277647422710345
Matin,20.0,0.3,0.455,MEA + MEAH+,0.0638,0.1120155384076462,0.2444575919546453
Bottinger,20.0,0.3,0.474,MEA + MEAH+,0.062,0.1120155384076462,0.2568865811775537
Matin,20.0,0.3,0.48,MEA + MEAH+,0.0612,0.1120155384076462,0.2625268485302465
Matin,20.0,0.3,0.505,MEA + MEAH+,0.0586,0.1120155384076462,0.281380654657717
Bottinger,20.0,0.3,0.524,MEA + MEAH+,0.0637,0.1120155384076462,0.2451388383404572
Matin,20.0,0.3,0.531,MEA + MEAH+,0.0561,0.1120155384076462,0.3003154094196463
Jakobsen,20.0,0.3,0.6,MEA + MEAH+,0.0641,0.1120155384076462,0.2424202411569901
Bottinger,20.0,0.3,0.609,MEA + MEAH+,0.0696,0.1120155384076462,0.2066690310652455
Bottinger,20.0,0.3,0.704,MEA + MEAH+,0.0747,0.1120155384076462,0.1759576688604088
Jakobsen,20.0,0.3,0.78,MEA + MEAH+,0.0752,0.1120155384076462,0.1730604300841653
Bottinger,20.0,0.3,0.832,MEA + MEAH+,0.0835,0.1120155384076462,0.1275917951922055
Bottinger,20.0,0.3,0.929,MEA + MEAH+,0.0883,0.1120155384076462,0.103317567098239
Bottinger,20.0,0.3,0.974,MEA + MEAH+,0.0885,0.1120155384076462,0.1023349999779822
Jakobsen,20.0,0.3,0.99,MEA + MEAH+,0.0832,0.1120155384076462,0.1291549443850837
Bottinger,20.0,0.3,0.075,MEACOO-,0.0086,0.0002241054816669,-1.5840459716446629
Matin,20.0,0.3,0.106,MEACOO-,0.0097,0.0002241054816669,-1.6363192546673395
Jakobsen,20.0,0.3,0.11,MEACOO-,0.0106,0.0002241054816669,-1.6748533856658652
Matin,20.0,0.3,0.128,MEACOO-,0.0124,0.0002241054816669,-1.74296920556333
Matin,20.0,0.3,0.15,MEACOO-,0.0151,0.0002241054816669,-1.828524467694264
Bottinger,20.0,0.3,0.15,MEACOO-,0.0171,0.0002241054816669,-1.8825436307932488
Matin,20.0,0.3,0.173,MEACOO-,0.0177,0.0002241054816669,-1.8975207867629016
Matin,20.0,0.3,0.195,MEACOO-,0.0203,0.0002241054816669,-1.957043558314308
Jakobsen,20.0,0.3,0.21,MEACOO-,0.0206,0.0002241054816669,-1.963414740770248
Matin,20.0,0.3,0.218,MEACOO-,0.0228,0.0002241054816669,-2.0074823674015487
Bottinger,20.0,0.3,0.235,MEACOO-,0.0267,0.0002241054816669,-2.07605878176567
Matin,20.0,0.3,0.241,MEACOO-,0.0252,0.0002241054816669,-2.050948061182639
Jakobsen,20.0,0.3,0.25,MEACOO-,0.0274,0.0002241054816669,-2.0872980832214827
Matin,20.0,0.3,0.264,MEACOO-,0.0276,0.0002241054816669,-2.0904566024663125
Matin,20.0,0.3,0.287,MEACOO-,0.0299,0.0002241054816669,-2.1252187087255243
Jakobsen,20.0,0.3,0.29,MEACOO-,0.0307,0.0002241054816669,-2.1366858958782813
Bottinger,20.0,0.3,0.309,MEACOO-,0.0349,0.0002241054816669,-2.192372947360275
Matin,20.0,0.3,0.31,MEACOO-,0.0321,0.0002241054816669,-2.156052552805967
Matin,20.0,0.3,0.334,MEACOO-,0.0342,0.0002241054816669,-2.18357362645723
Matin,20.0,0.3,0.358,MEACOO-,0.0362,0.0002241054816669,-2.208256090934261
Matin,20.0,0.3,0.382,MEACOO-,0.0381,0.0002241054816669,-2.230472496076714
Bottinger,20.0,0.3,0.388,MEACOO-,0.043,0.0002241054816669,-2.2830159759806814
Jakobsen,20.0,0.3,0.4,MEACOO-,0.0427,0.0002241054816669,-2.279975395426119
