source,species,CO2_loading,mole_fraction,solver_success,message
reference,MEA + MEAH+,0.205,0.1146292776613793,,
reference,MEA + MEAH+,0.21,0.08979014523726991,,
reference,MEA + MEAH+,0.236,0.1091939889647437,,
reference,MEA + MEAH+,0.25,0.0793247548023807,,
reference,MEA + MEAH+,0.28,0.1055914527343815,,
reference,MEA + MEAH+,0.29,0.0797737888829979,,
reference,MEA + MEAH+,0.343,0.0977381234369826,,
reference,MEA + MEAH+,0.354,0.0967401965417686,,
reference,MEA + MEAH+,0.4,0.0859704991591217,,
reference,MEA + MEAH+,0.46,0.0809030051139839,,
reference,MEA + MEAH+,0.466,0.0882678567815763,,
reference,MEA + MEAH+,0.487,0.0867170718220242,,
reference,MEA + MEAH+,0.508,0.0867439845873245,,
reference,MEA + MEAH+,0.6,0.0650479220538556,,
reference,MEA + MEAH+,0.663,0.10131902848980111,,
reference,MEA + MEAH+,0.683,0.09128201698094461,,
reference,MEA + MEAH+,0.762,0.1038893080556572,,
reference,MEA + MEAH+,0.78,0.0769668405695418,,
model,MEA + MEAH+,0.11,0.1016715075251509,True,converged
model,MEA + MEAH+,0.125,0.1000862402422894,True,converged
model,MEA + MEAH+,0.205,0.0915736607531619,True,converged
model,MEA + MEAH+,0.21,0.09104372896056541,True,converged
model,MEA + MEAH+,0.236,0.0883025916651525,True,converged
model,MEA + MEAH+,0.25,0.0868399026938234,True,converged
model,MEA + MEAH+,0.28,0.0837508385301716,True,converged
model,MEA + MEAH+,0.29,0.0827388241058445,True,converged
model,MEA + MEAH+,0.343,0.0776031764003314,True,converged
model,MEA + MEAH+,0.354,0.0766045644943648,True,converged
model,MEA + MEAH+,0.4,0.0728434948805538,True,converged
model,MEA + MEAH+,0.46,0.0696557733710046,True,converged
model,MEA + MEAH+,0.466,0.0694944551684212,True,converged
model,MEA + MEAH+,0.487,0.0691988913528422,True,converged
model,MEA + MEAH+,0.508,0.06932599224017841,True,converged
model,MEA + MEAH+,0.6,0.0737155854434549,True,converged
model,MEA + MEAH+,0.663,0.078576718187394,True,converged
model,MEA + MEAH+,0.683,0.0802369660214308,True,converged
model,MEA + MEAH+,0.762,0.0869086342262559,True,converged
model,MEA + MEAH+,0.78,0.0884019162751334,True,converged
