temperature_C,CO2_loading,effective_CO2_loading,species,mole_fraction,curve_role,solver_success
20.0,0.08296875000000001,0.08296875000000001,MEACOO-,0.008828406133391906,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,HCO3-,6.496452418243308e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,CO3^2-,0.00047802173223284556,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,H3O+,4.3678741560135636e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,OH-,6.437675820417275e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,MEA + MEAH+,0.10341776304278939,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,CO2,3.216076399784703e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,MEA,0.09247961881018257,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,MEAH+,0.010404013581680695,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,MEACOO-,0.009362536783816863,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,HCO3-,6.995488107797262e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,CO3^2-,0.0004870844241351573,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,H3O+,4.573240489280585e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,OH-,6.03124724290198e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.0878125,0.0878125,MEA + MEAH+,0.10288363239186327,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,CO2,3.6594775203137616e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,MEA,0.0913964444346153,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,MEAH+,0.010952335242017911,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,MEACOO-,0.009897389498729871,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,HCO3-,7.510546320367151e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,CO3^2-,0.0004954090262471122,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,H3O+,4.776216180558152e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,OH-,5.6617166957161404e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.09265625000000001,0.09265625000000001,MEA + MEAH+,0.10234877967663321,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,CO2,4.145684906231565e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,MEA,0.09031296710557617,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,MEAH+,0.01150031536249098,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,MEACOO-,0.010432886706668199,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,HCO3-,8.042308684375153e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,CO3^2-,0.0005030724332188511,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,H3O+,4.9770557355919336e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,OH-,5.3241503781282926e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.0975,0.0975,MEA + MEAH+,0.10181328246806715,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,CO2,4.6779920195473336e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,MEA,0.0892292270981727,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,MEAH+,0.012047971093993463,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,MEACOO-,0.010968970981895632,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,HCO3-,8.591483288051652e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,CO3^2-,0.0005101313601704871,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,H3O+,5.176008755507214e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,OH-,5.014593210353535e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.10234375,0.10234375,MEA + MEAH+,0.10127719819216616,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,CO2,5.2599803279105816e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,MEA,0.0881452579100571,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,MEAH+,0.012595300989969836,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,MEACOO-,0.011505610273310787,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,HCO3-,9.158863774300749e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,CO3^2-,0.0005166170645228086,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,H3O+,5.373325210256825e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,OH-,4.729774798457859e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.1071875,0.1071875,MEA + MEAH+,0.10074055890002694,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,CO2,5.895553917602901e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,MEA,0.08706108865872057,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,MEAH+,0.013142337361599057,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,MEACOO-,0.01204274315223865,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,HCO3-,9.745111501527357e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,CO3^2-,0.0005225903135548765,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,H3O+,5.56922772725922e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,OH-,4.466849536766938e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.11203125,0.11203125,MEA + MEAH+,0.10020342602031963,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,CO2,6.588916320038196e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,MEA,0.08597674513550979,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,MEAH+,0.013689088995222197,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,MEACOO-,0.012580335040986403,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,HCO3-,1.0351195581869942e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,CO3^2-,0.0005280847158051679,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,H3O+,5.764014578738059e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,OH-,4.223335210031164e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.116875,0.116875,MEA + MEAH+,0.09966583413073199,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,CO2,7.344610485983002e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,MEA,0.08489224694292077,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,MEAH+,0.014235566802025375,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,MEACOO-,0.013118355425866332,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,HCO3-,1.0977956505209893e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,CO3^2-,0.000533129944424761,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,H3O+,5.957851988825996e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,OH-,3.997355626521078e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.12171875,0.12171875,MEA + MEAH+,0.09912781374494614,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,CO2,8.167637032409122e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,MEA,0.08380761375949444,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,MEAH+,0.01478178258475907,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,MEACOO-,0.013656772825590333,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,HCO3-,1.1626302594986327e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,CO3^2-,0.0005377565740125222,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,H3O+,6.151070643192671e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,OH-,3.787032149568223e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.1265625,0.1265625,MEA + MEAH+,0.09858939634425351,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,CO2,9.063404200153288e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,MEA,0.08272286172070334,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,MEAH+,0.015327755685231615,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,MEACOO-,0.014195551762843718,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,HCO3-,1.2297305943402097e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,CO3^2-,0.0005419990046802585,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,H3O+,6.343851653014328e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,OH-,3.590863325789851e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.13140625,0.13140625,MEA + MEAH+,0.09805061740593496,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,CO2,1.0037787621812517e-10,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,MEA,0.08163800553439023,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,MEAH+,0.015873517428029178,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,MEACOO-,0.0147346462053016,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,HCO3-,1.2991940727691312e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,CO3^2-,0.0005459023018200052,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,H3O+,6.536450314239218e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,OH-,3.407468586593646e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.13624999999999998,0.13624999999999998,MEA + MEAH+,0.09751152296241941,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,CO2,1.1097242948652386e-10,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,MEA,0.0805530574565318,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,MEAH+,0.016419057899322298,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,MEACOO-,0.015274053810549634,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,HCO3-,1.3711315829429688e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,CO3^2-,0.0005494676904722749,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,H3O+,6.729143725041334e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,OH-,3.235741878127721e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.14109375,0.14109375,MEA + MEAH+,0.0969721153558541,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,CO2,1.2248701174455516e-10,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,MEA,0.07946802890662445,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,MEAH+,0.016964398687899528,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,MEACOO-,0.015813741570545416,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,HCO3-,1.4456644669499338e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,CO3^2-,0.0005527269719267613,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,H3O+,6.92217733666467e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,OH-,3.074655588104188e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.1459375,0.1459375,MEA + MEAH+,0.09643242759452397,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,CO2,1.349973759727139e-10,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,MEA,0.07838293033148476,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,MEAH+,0.017509544767131575,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,MEACOO-,0.016353694065009524,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,HCO3-,1.5229173023934328e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,CO3^2-,0.0005556943183618633,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,H3O+,7.115788734280264e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,OH-,2.9232919667597597e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.15078124999999998,0.15078124999999998,MEA + MEAH+,0.09589247509861634,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,CO2,1.4858598305029066e-10,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,MEA,0.0772977716036095,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,MEAH+,0.018054523965789764,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,MEACOO-,0.016893873592664446,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,HCO3-,1.603023732506252e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,CO3^2-,0.0005584060945400556,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,H3O+,7.310230395018165e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,OH-,2.7807974238036456e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.15562499999999999,0.15562499999999999,MEA + MEAH+,0.09535229556939925,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,CO2,1.633461131043842e-10,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,MEA,0.07621256074553705,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,MEAH+,0.018599346644861372,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,MEACOO-,0.01743426176997378,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,HCO3-,1.6861111245563302e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,CO3^2-,0.0005608794102287959,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,H3O+,7.505828561565158e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,OH-,2.6464970909526485e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.16046875,0.16046875,MEA + MEAH+,0.09481190739039842,epcsaft_activity_equilibrium_curve,True
