temperature_C,CO2_loading,effective_CO2_loading,solver_returned,solver_success,rejection_reason,message,charge_residual,max_abs_reaction_residual,state_failure_count
40.0,0.09443750000000001,0.09443750000000001,True,True,,converged,-9.905294141333842e-12,9.136989831404208e-08,0
40.0,0.09940625,0.09940625,True,True,,converged,-1.0138399153406322e-11,8.778727078606607e-08,0
40.0,0.10437500000000001,0.10437500000000001,True,True,,converged,-1.0351837381814954e-11,8.477566382225632e-08,0
40.0,0.10934375,0.10934375,True,True,,converged,-1.0546739236073563e-11,8.116868599472582e-08,0
40.0,0.11431250000000001,0.11431250000000001,True,True,,converged,-1.0724724941132448e-11,7.762428211322003e-08,0
40.0,0.11928125,0.11928125,True,True,,converged,-1.0887660009130905e-11,7.526418244196975e-08,0
40.0,0.12425,0.12425,True,True,,converged,-1.1035960634789765e-11,7.298196180727246e-08,0
40.0,0.12921875,0.12921875,True,True,,converged,-1.1170946946062379e-11,7.025366954849233e-08,0
40.0,0.13418750000000002,0.13418750000000002,True,True,,converged,-1.1292963363485758e-11,6.568039268017856e-08,0
40.0,0.13915625,0.13915625,True,True,,converged,-1.1404095499016479e-11,6.45116493558362e-08,0
40.0,0.144125,0.144125,True,True,,converged,-1.1505063930359032e-11,6.250035156085687e-08,0
40.0,0.14909375,0.14909375,True,True,,converged,-1.1596063095620527e-11,6.057988244378976e-08,0
40.0,0.15406250000000002,0.15406250000000002,True,True,,converged,-1.1677763943151011e-11,5.738074193573084e-08,0
40.0,0.15903125,0.15903125,True,True,,converged,-1.1751820711355812e-11,5.758051102588979e-08,0
40.0,0.164,0.164,True,True,,converged,-1.1817752641274729e-11,6.407675456898687e-08,0
40.0,0.16896875,0.16896875,True,True,,converged,-2.375117825329019e-11,8.678319574073612e-08,0
40.0,0.1739375,0.1739375,True,True,,converged,-1.1928384962992065e-11,6.010717612525696e-08,0
40.0,0.17890625000000002,0.17890625000000002,True,True,,converged,-2.394866065102085e-11,9.691904878650348e-08,0
40.0,0.183875,0.183875,True,True,,converged,-2.40283938342386e-11,9.21091434236132e-08,0
40.0,0.18884375,0.18884375,True,True,,converged,-2.4099245736396917e-11,9.391887090259843e-08,0
40.0,0.1938125,0.1938125,True,True,,converged,-2.4160296505126074e-11,9.420513435998146e-08,0
40.0,0.19878125000000002,0.19878125000000002,True,True,,converged,-2.421167170967237e-11,9.377809462307596e-08,0
