row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,species,target_role,validation_use,reconciled_mole_fraction
cheq_0015,Jakobsen,20.0,0.3,0.29,MEAH+,direct_positive,log_residual_target,0.023802043448114107
cheq_0015,Jakobsen,20.0,0.3,0.29,MEACOO-,direct_positive,log_residual_target,0.029862900028818824
cheq_0015,Jakobsen,20.0,0.3,0.29,HCO3-,direct_positive,log_residual_target,0.0001949868651783167
cheq_0015,Jakobsen,20.0,0.3,0.29,CO3^2-,direct_positive,log_residual_target,0.0005949823526474832
cheq_0015,Jakobsen,20.0,0.3,0.29,H3O+,balance_inferred,context_only,0.007445808151178
cheq_0015,Jakobsen,20.0,0.3,0.29,OH-,balance_inferred,context_only,1.0000000000000002e-12
cheq_0015,Jakobsen,20.0,0.3,0.29,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.08052362467176657
cheq_0016,Bottinger,20.0,0.3,0.309,CO2,balance_inferred,context_only,0.0057382054346754325
cheq_0016,Bottinger,20.0,0.3,0.309,MEA,balance_inferred,context_only,0.09439199294899088
cheq_0016,Bottinger,20.0,0.3,0.309,MEAH+,balance_inferred,context_only,0.03288436617307017
cheq_0016,Bottinger,20.0,0.3,0.309,MEACOO-,direct_positive,log_residual_target,0.03474306825290338
cheq_0016,Bottinger,20.0,0.3,0.309,HCO3-,balance_inferred,context_only,0.009318320953273226
cheq_0016,Bottinger,20.0,0.3,0.309,CO3^2-,balance_inferred,context_only,0.0002691239397366934
cheq_0016,Bottinger,20.0,0.3,0.309,H3O+,balance_inferred,context_only,0.011715270912579831
cheq_0016,Bottinger,20.0,0.3,0.309,OH-,balance_inferred,context_only,1e-12
cheq_0016,Bottinger,20.0,0.3,0.309,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.12727635912206103
cheq_0017,Matin,20.0,0.3,0.31,CO2,balance_inferred,context_only,0.0003158605077836934
cheq_0017,Matin,20.0,0.3,0.31,MEA,direct_positive,log_residual_target,0.04787879458098555
cheq_0017,Matin,20.0,0.3,0.31,MEAH+,direct_positive,log_residual_target,0.03317576359639835
cheq_0017,Matin,20.0,0.3,0.31,MEACOO-,direct_positive,log_residual_target,0.031079930349586424
cheq_0017,Matin,20.0,0.3,0.31,HCO3-,direct_positive,log_residual_target,0.003383398123957891
cheq_0017,Matin,20.0,0.3,0.31,CO3^2-,balance_inferred,context_only,1.0006217651149979e-12
cheq_0017,Matin,20.0,0.3,0.31,H3O+,balance_inferred,context_only,0.0012875648791472111
cheq_0017,Matin,20.0,0.3,0.31,OH-,balance_inferred,context_only,9.999999999999998e-13
cheq_0017,Matin,20.0,0.3,0.31,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.0810545581773839
cheq_0018,Matin,20.0,0.3,0.334,CO2,balance_inferred,context_only,9.074964183809489e-05
cheq_0018,Matin,20.0,0.3,0.334,MEA,direct_positive,log_residual_target,0.042710499000621835
cheq_0018,Matin,20.0,0.3,0.334,MEAH+,direct_positive,log_residual_target,0.0354623062203113
