row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,diagnostic_success,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,success,message
vle_0010,40.0,0.242,0.021,Idris,0.02296010686870414,0.038754610437159595,6.427516743359508,3.636121856942509e-07,-1.5193289438730865e-10,7.641917854073199e-08,0,True,1.0991480969118853e-07,0.05867348685072167,0.8856038128202627,0.02855270730222696,0.025019963608031357,0.0007606723810068349,0.0013828243495598992,1.6259881871539125e-12,6.422771754872927e-06,0.0035721582355152993,0.9952269461129379,0.0012008956515467046,True,converged
vle_0011,40.0,0.246,0.0191,Hilliard,0.024937437847549454,0.11581846337708304,6.42698141380165,5.663162383484632e-08,-1.0187293314000925e-10,6.480414782572552e-08,0,True,1.1895465700576186e-07,0.05780832381745468,0.8855748429245694,0.028998103225516905,0.025439728877038555,0.0007932143200456866,0.0013794922557547747,1.6769590198217292e-12,6.175623285965663e-06,0.003880116689616908,0.994938019162986,0.001181864147397157,True,converged
vle_0012,40.0,0.25,0.0246,Aronu,0.027081645143466983,0.04173993603483305,6.4265565808082386,7.739988436838985e-07,-9.035847257680502e-11,6.952703301976726e-08,0,True,1.287215340408953e-07,0.05694447720793771,0.8855446141818102,0.029443431740718472,0.02585824530802993,0.0008270808958396533,0.0013760836890716486,1.729447123897237e-12,5.938253329097228e-06,0.004214021117365008,0.9946231123629717,0.0011628665196633278,True,converged
vle_0013,40.0,0.269,0.0231,Hilliard,0.04002957815121632,0.2387690334564207,6.426684027757566,2.029524148738915e-08,-1.248832261611406e-10,5.5644200358528906e-08,0,True,1.8705516584229938e-07,0.05286119354145797,0.8853818914621622,0.031557769977836984,0.02782718559310031,0.0010080294040101107,0.0013588121471168964,2.0015380524291848e-12,4.930817148261671e-06,0.0062286519732919965,0.9926982720596078,0.0010730759671001336,True,converged
vle_0014,40.0,0.272,0.0224,Hilliard,0.04257491717560988,0.2789057934335214,6.427108869175966,1.6041122918863948e-07,-6.436337583509612e-11,5.490747057024237e-08,0,True,1.9841613590583475e-07,0.05221980907529047,0.8853529537965082,0.03189149681795301,0.028134841599413797,0.0010399571525177272,0.0013559549942655895,2.0482799525918943e-12,4.788145867022689e-06,0.006624271977062138,0.9923167640583298,0.0010589639646079979,True,converged
vle_0015,40.0,0.321,0.038,Idris,0.11738024581959229,0.4898114180681622,6.463767583471558,9.324618104322724e-07,-1.2906410422590324e-10,8.599881340387583e-08,0,True,5.239437848289224e-07,0.041917816021758744,0.8847098664501694,0.037338366258690414,0.03298992897932756,0.0017356098253310417,0.0013049390728151454,3.00354977470474e-12,2.9494451194195714e-06,0.01815972562499683,0.981009469239239,0.000830805135764105,True,converged
vle_0016,40.0,0.326,0.0485,Hilliard,0.1303741318540509,0.42944969092627966,6.472515620848935,2.406927528397773e-07,-1.354304755778638e-10,5.607949304931026e-08,0,True,5.794712971385312e-07,0.040889969632185025,0.8846212302368066,0.03789376508064072,0.033462370514839954,0.001829970779591075,0.0012993096482093063,3.1264955907335665e-12,2.8046333036704143e-06,0.020142729580149087,0.9790495107145123,0.0008077597053386514,True,converged
vle_0017,40.0,0.33,0.043,Idris,0.14183797156718878,0.5183240561878663,6.480547197383705,7.890010529365554e-07,-1.405431287676536e-10,5.4150428141497287e-08,0,True,6.282992552055436e-07,0.04007163884862139,0.8845464388215425,0.038338015775690855,0.03383644528555898,0.0019094018230772355,0.001294737673007881,3.2290961245349555e-12,2.693470016907e-06,0.02188672765541325,0.9773239178871609,0.0007893544574259233,True,converged
vle_0018,40.0,0.337,0.0603,Aronu,0.16448912753610123,0.4358198849353504,6.497086906506879,8.458907334585319e-07,-1.509088169385247e-10,9.941602741037059e-08,0,True,7.243998504767934e-07,0.038648604262419235,0.8844066304343629,0.03911532460833747,0.03448216054256914,0.0020574388231307163,0.0012866084767612516,3.41842122695088e-12,2.5084491506553504e-06,0.025317366060066734,0.9739254218319706,0.0007572121079626128,True,converged
vle_0019,40.0,0.345,0.05,Idris,0.1950532322344658,0.5911831470816551,6.520553090537161,1.7929545315098494e-07,-1.6093591952951754e-10,6.56147918220995e-08,0,True,8.534069110118342e-07,0.037037580445502864,0.8842318005384497,0.040003411955832215,0.03520508279212651,0.002241901373195628,0.0012770584769984208,3.651240998196449e-12,2.311007332482417e-06,0.029913602347250788,0.9693658121701362,0.0007205854826130468,True,converged
