source,temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,point_role,target_role
Jakobsen,40.0,0.3,0.4,MEA,0.038014477406187935,reference_point,direct_positive
Jakobsen,40.0,0.3,0.4,MEAH+,0.04795602175325629,reference_point,direct_positive
Jakobsen,40.0,0.3,0.4,MEACOO-,0.048422770946265695,reference_point,direct_positive
Jakobsen,40.0,0.3,0.4,HCO3-,0.001197060187480858,reference_point,direct_positive
Jakobsen,40.0,0.3,0.4,CO3^2-,0.0009970601381715668,reference_point,direct_positive
Jakobsen,40.0,0.3,0.4,MEA + MEAH+,0.08597049915944423,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.46,MEACOO-,0.049251922176547815,reference_point,direct_positive
Bottinger,40.0,0.3,0.46,MEA + MEAH+,0.08090300511365994,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.466,MEACOO-,0.05019639745609599,reference_point,direct_positive
Bottinger,40.0,0.3,0.466,HCO3-,0.003999945815496926,reference_point,direct_positive
Bottinger,40.0,0.3,0.466,MEA + MEAH+,0.08826785678157638,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.487,MEACOO-,0.051099793693072486,reference_point,direct_positive
Bottinger,40.0,0.3,0.487,HCO3-,0.0051999897775372285,reference_point,direct_positive
Bottinger,40.0,0.3,0.487,MEA + MEAH+,0.08671707182202354,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.508,MEACOO-,0.048293131371197916,reference_point,direct_positive
Bottinger,40.0,0.3,0.508,HCO3-,0.009099491199283667,reference_point,direct_positive
Bottinger,40.0,0.3,0.508,MEA + MEAH+,0.08674398458773072,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.6,MEA,0.0028026163797142544,reference_point,direct_positive
Jakobsen,40.0,0.3,0.6,MEAH+,0.06224530567468969,reference_point,direct_positive
Jakobsen,40.0,0.3,0.6,MEACOO-,0.048855882783742394,reference_point,direct_positive
Jakobsen,40.0,0.3,0.6,HCO3-,0.014972803014416381,reference_point,direct_positive
