row_id,temperature_C,CO2_loading,source,target_x_CO2,target_x_MEA,target_x_H2O,target_x_MEAH+,target_x_MEACOO-,target_x_HCO3-,target_x_CO3^2-,target_x_H3O+,target_x_OH-,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_H2O,log10_model_over_target_H2O,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,reaction_R1_water_autoionization,reaction_R2_CO2_to_HCO3,reaction_R3_HCO3_to_CO3,reaction_R4_MEACOO_hydrolysis,reaction_R5_MEAH_dissociation,mass_balance_carbon_total,mass_balance_mea_total,mass_balance_water_total,charge_residual,state_failure_count,success,message
cheq_0020,20.0,0.382,Matin,1e-12,0.03280550367729208,0.8832211228711676,0.04030653134013372,0.036729626168459525,0.005257060554810563,1.0000520151670586e-12,0.001680155385136474,1e-12,2.6478392622013033e-07,5.422891617603838,0.028492975733151887,-0.06120890185068769,0.8800405165480498,-0.00156677970248171,0.04858629700056976,0.08113837494343906,0.035166866720612894,-0.01888283265477016,0.0020045426904414343,-0.41872766979176457,0.005706351087301631,9.756335899106851,3.898848416184126e-13,-9.634413097738934,2.185435556475956e-06,6.339538004657963,2.1739232636264205e-09,8.889358582564455e-09,-8.704276766025032e-08,5.894564836239624e-10,1.0025758001575014e-10,1.2763470835785995e-11,6.487171910762868e-12,8.29567525784114e-11,-1.942166150354911e-11,0,True,converged
cheq_0021,20.0,0.388,Bottinger,0.007208532136674709,0.07472786584945713,0.8078109309287793,0.04259985288271074,0.04283425315884062,0.011733140006720606,0.00037262825098879394,0.012712796784828076,1e-12,3.039624061259768e-07,-4.375026965274563,0.027298082320436096,-0.4373504403366381,0.8798894739742926,0.03711839676342847,0.04925890466544309,0.06307665123626736,0.035689148075763136,-0.07925501794068035,0.002156378765632387,-0.7356892063816471,0.005705669610789241,1.185030841991584,4.094508271852518e-13,-10.492039351984896,2.038624827812333e-06,6.309337309052984,7.406883995031421e-09,-2.394148879147906e-09,-9.076090279336313e-08,3.1007241219072057e-09,9.522842958631372e-09,1.1228191987289193e-11,2.5772439737892228e-12,9.821365942741522e-12,-2.1033250568397655e-11,0,True,converged
cheq_0022,20.0,0.4,Jakobsen,0.004369108442650259,0.033347870207754086,0.8731766479174402,0.045152051187378514,0.04208115361873606,0.0005977284510696112,0.0011977289436015865,1e-12,7.771123036966893e-05,4.0312094522411413e-07,-4.034957460501775,0.024950795761138258,-0.12598370129540057,0.8795510055144958,0.0031589169371690888,0.050597981812667184,0.04945571018484158,0.036697346366363306,-0.05945297614035874,0.00250253205980895,0.6218757217528031,0.00569816803588694,0.6773767076182087,4.5345189251921486e-13,-0.34346878119855206,1.7673282407882122e-06,-1.643166567756533,-7.755271980158795e-10,4.854701529666272e-09,-8.980578769524072e-08,1.1214119410851708e-08,1.4653842583811638e-09,1.243115332894007e-11,1.4480736054700571e-11,2.9865110384719173e-11,-1.250484578425085e-11,0,True,converged
cheq_0023,20.0,0.406,Matin,9.999999999999998e-13,0.027959116892318305,0.8834600477428565,0.04278263153470561,0.03825864412592235,0.006031773553989748,1.0002947202813313e-12,0.0015077861472070765,9.999999999999998e-13,4.657973553733963e-07,5.668197018440823,0.023801415426637874,-0.06992066528142638,0.8793607799608708,-0.002019822501029792,0.051264238846377465,0.0785470192467986,0.03718046262194664,-0.012414785481062866,0.0026998561613344753,-0.3491044016793241,0.005691138878881129,9.755071207140539,4.782284181797648e-13,-9.498704368909628,1.6423061180430078e-06,6.215454110752927,6.639364613647558e-10,-6.482991921075154e-11,-5.027593275030995e-08,-3.3298128698788787e-09,-1.8619950026277365e-09,1.9052120991958077e-13,8.515410598874951e-14,1.4412915305683782e-12,-2.923938626976137e-13,0,True,converged
cheq_0024,20.0,0.431,Matin,1.001213457658557e-12,0.023141758807636303,0.883583488552263,0.04522971751516235,0.03973478417280442,0.006902592144745313,1e-12,0.0014076588043873753,1e-12,8.72189255049187e-07,5.940084053593178,0.01923425171098439,-0.0803210677021322,0.8783774058151635,-0.002566435602493169,0.05400909374350291,0.07704301466747301,0.03900272581842315,-0.00807589839001472,0.003743741496716601,-0.26570635956842054,0.005630717226191738,9.7505637176823,6.066050566337656e-13,-9.365591374771645,1.1919991561460254e-06,6.0762759479535005,1.000749527690914e-08,9.289781033317013e-08,1.6396242585869913e-08,-4.294693489725887e-09,6.5097331969354855e-09,1.3269156606821042e-11,4.313258084032157e-12,8.686573682581411e-11,-2.1528377897774082e-11,0,True,converged
cheq_0025,20.0,0.455,Matin,1.0032629587612553e-12,0.01843479675364144,0.8838337753173512,0.04783436268380197,0.04100934128236371,0.007856372679638434,1.0000000000000002e-12,0.0010313512802001686,1.0000000000000002e-12,1.6502798107410627e-06,6.216142808556112,0.015298703885060971,-0.08098371510836659,0.8770453444280008,-0.0033485463578441315,0.05658317134891364,0.07294729289142225,0.040364108693490726,-0.006887426452081525,0.005194122398348374,-0.1797098972553107,0.005512041340507347,9.741312466135943,7.801143132435243e-13,-9.121248365757817,8.576250872470837e-07,5.933297476515695,-5.455618179439625e-10,-5.77394132506015e-10,-7.630519860413187e-08,-1.1000544475336937e-08,3.2833398222464893e-09,2.6472588010584275e-11,5.5706550483591855e-12,1.62457935992677e-10,-4.590299691824737e-11,0,True,converged
cheq_0026,20.0,0.474,Bottinger,0.008974521343195844,0.053746336116384054,0.807618599979734,0.05226646805965589,0.0491697728648801,0.014932370410907232,0.00048541866937053274,0.01280651255487251,1.0000000000000002e-12,2.7769635292439747e-06,-3.5094411186791024,0.012598142814036623,-0.6300423365197875,0.8756304225500824,0.03511452964011989,0.05856624439035276,0.04942422206304984,0.04108147029779729,-0.07805222359440321,0.006756458080049376,-0.34440966789282756,0.005363831119744496,1.0433586201967424,9.631597252117798e-13,-10.123732565447472,6.537834448599254e-07,5.8154339191550095,1.5349636228734198e-08,1.161150109396658e-08,-7.361543552519834e-08,2.9639677379122986e-09,3.087933464485104e-09,1.8343687679944765e-11,2.85159951207703e-11,-1.857403120197887e-13,-8.986497128493073e-12,0,True,converged
cheq_0027,20.0,0.48,Matin,1.000194618877209e-12,0.013717136426970962,0.8840625960392542,0.05041091859121875,0.042215466719605146,0.008894667044779925,1.0015263164904582e-12,0.0006992151751693751,1e-12,3.2749517265003673e-06,6.515120389099274,0.011832965143791134,-0.06416987281291395,0.8751070640248799,-0.00442182675589952,0.05918138651397985,0.0696605244322243,0.04123144991022633,-0.010242987943828415,0.007337182731106382,-0.08360036049387104,0.005306077169717233,9.724111196449934,1.0304655957106996e-12,-8.831577348774646,5.995535421126183e-07,5.777827973099157,-3.882062671323183e-09,-7.838462323661588e-09,-6.312586720014224e-08,-1.200788801725139e-09,3.1405917866322852e-09,1.0962640517586664e-11,2.798247744628668e-12,1.086781775683221e-10,-1.8312398522477636e-11,0,True,converged
cheq_0028,20.0,0.505,Matin,1.0004571906079548e-12,0.009109195715321925,0.8842708452975506,0.05291666795077905,0.04338737733680423,0.009922602154258891,1.000183323192486e-12,0.00039331154228442594,9.999999999999998e-13,6.431881351394494e-06,6.8081395144216765,0.00912042241448251,0.00053492004902291,0.8725075927188555,-0.005816091461581984,0.06168761477112384,0.06660548824537542,0.04143741002926158,-0.01997079606936089,0.010230432365123382,0.01326840982247787,0.005009676575794629,9.69973007981107,1.3614411737296166e-12,-8.460737810855523,4.1924264567342883e-07,5.622465452980063,-4.542680898111939e-09,-5.103952815943558e-09,-6.10938251099924e-08,-1.9546977370055174e-09,-5.185700757692757e-09,8.548238505934336e-12,1.8928192346834294e-12,1.002138372285799e-10,-1.526919474464058e-11,0,True,converged
cheq_0029,20.0,0.524,Bottinger,0.01104594544564602,0.03713520509050174,0.8354746121655162,0.047705565880140355,0.0467000846130751,0.010600074841039517,0.0005813061297022891,0.010757205833378844,1e-12,1.0440926727444497e-05,-3.0244638460021456,0.007547257476559952,-0.6919966604739864,0.8700959873183838,0.017633908410260062,0.06354005311052209,0.1244785217134417,0.04115768733136134,-0.054866703861750646,0.012914458465464372,0.08576726829174233,0.004733792395560673,0.9108043051734191,1.6636565805338816e-12,-9.810635796509148,3.229737566780319e-07,5.509167235046423,3.2907562896866693e-08,-2.3374077784410474e-08,-9.38035604747256e-08,-4.44669741028747e-08,3.1701947733608904e-08,6.294378282478696e-10,8.229834730366647e-10,6.741475155891408e-10,-4.24551818507463e-10,0,True,converged
